term,type,label,description,domain,range
lineCount,Property,line count,Line count of a file,File,Integer
FileStats,Class,file stats,File statistics,,
stats,Property,stats,Statistics of a file,File,FileStats
generatedBy,Property,generated by,Software that generated a statistics,FileStats,Text
totalReads,Property,total reads,Total reads of a sam/bam file,FileStats,Integer
mappedReads,Property,mapped reads,Mapped reads of a sam/bam file,FileStats,Integer
unmappedReads,Property,unmapped reads,Unmapped reads of a sam/bam file,FileStats,Integer
duplicateReads,Property,duplicate reads,Duplicate reads of a sam/bam file,FileStats,Integer
mappedRate,Property,mapped rate,Mapped rate of a sam/bam file,FileStats,Float
unmappedRate,Property,unmapped rate,Unmapped rate of a sam/bam file,FileStats,Float
duplicateRate,Property,duplicate rate,Duplicate rate of a sam/bam file,FileStats,Float
variantCount,Property,variant count,Variant count of a vcf file,FileStats,Integer
snpsCount,Property,snps count,Snps count of a vcf file,FileStats,Integer
indelsCount,Property,indels count,Indels count of a vcf file,FileStats,Integer
wesState,Property,WES state,Run state of a WES run,CreateAction,Text
exitCode,Property,exit code,Exit code of a WES run,CreateAction,Integer
